jasc_code,title,ata_chapter,ata_chapter_title,definition,system_level,wiring_code,single_engine_piston,multi_engine_piston,turboprop,business_jet_transport_jet,rotorcraft,notes,source,source_last_updated,source_url
1800,Helicopter Vibration/Noise Analysis,18,Helicopter Vibration,"The units and components enabling operators to monitor and diagnose vibration and noise levels in order to identify imbalance, damage, or misalignment in helicopter components.",1,0,0,0,0,0,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1810,Helicopter Vibration Analysis,18,Helicopter Vibration,"For reports of equipment necessary to monitor, measure, diagnose, and locate sources of vibration in dynamic and structural components.",0,0,0,0,0,0,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1820,Helicopter Noise Vibration,18,Helicopter Vibration,"For reports of equipment necessary to monitor, measure, diagnose and locate sources of noise in dynamic and structural components.",0,0,0,0,0,0,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1897,Helicopter Vibration System Wiring,18,Helicopter Vibration,"For reports indicating a problem with wiring used on equipment necessary to monitor, measure, diagnose and locate sources of noise in dynamic and structural components. AIRFRAME SYSTEMS",0,1,0,0,0,0,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2100,Air Conditioning System,21,Air Conditioning,"For miscellaneous parts that cannot be associated with specific air conditioning, pressurization, or distribution codes. Examples are lines, hoses, etc., with no reference to the specific using system on the incoming report. Also, for those units and components furnishing a means of pressurizing, heating, cooling, moisture controlling, filtering, and treating the air used to ventilate areas of the fuselage within the pressure vessel.",1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2110,Cabin Compressor System,21,Air Conditioning,"The system and its controls supplying compressed air to the cabin. For reported problems with the compressor unit and not the associated system. Related entries should include the component manufacturer's make, model, and the specific defective part by name and part number. Typical parts are controls and indicating systems related to the compressors, wiring, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2120,Air Distribution System,21,Air Conditioning,"The system used to induct and distribute air. Does not include valves that are a part of the temperature control, pressurization, or the distribution fan. Typical parts are equipment rack cooling systems, ozone converters, scoops, ducting, inlets, check valves, wiring, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2121,Air Distribution Fan,21,Air Conditioning,"For reports pertaining to the fan/blower including associated motor which distributes air within the confine for comfort or equipment cooling. Typical parts are bearing, bushing, motor, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2130,Cabin Pressure Control System,21,Air Conditioning,"For reports of miscellaneous system components or parts other than the controller, indicator, sensor, regulator, or outflow valves. Typical parts are amplifier, switch, electrical connector, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2131,Cabin Pressure Controller,21,Air Conditioning,For the reports pertaining to the controller units only and not for the system. The defective part should be identified by the part name and part number whenever possible.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2132,Cabin Pressure Indicator,21,Air Conditioning,"For reports of the cabin pressurization system, pressure indicators, and associated system parts.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2133,Pressure Regulator/Outflow Valve,21,Air Conditioning,"For reports of outflow/dump valves and associated parts such as linkage, filter, diaphragm, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2134,Cabin Pressure Sensor,21,Air Conditioning,"The units and systems, which measure differential, pressure and transmit a signal. Typical parts are pressure switch, transducer, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2140,Heating System,21,Air Conditioning,"The units and systems supplying heated air to the cockpit or cabin. Includes the heat source (heater), controlling aspects, and temperature sensors/indicators. Typical parts are fuel pump, filter, plumbing, circuitry, relay, heat exchanger, igniter, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2150,Cabin Cooling System,21,Air Conditioning,"The units and systems supplying cooled air to the cockpit or cabin. Does not include the temperature control and indicating system. Typical parts are flow valve, relay, condenser, ram air sensor, heat exchanger, cooling turbine, air cycle machine, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2160,Cabin Temperature Control System,21,Air Conditioning,"The units and circuitry other than the control unit which are used for controlling the temperature of the air in the cockpit and cabin. Typical parts are control valves, thermal sensing devices, switches, amplifiers, and wiring.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2161,Cabin Temperature Controller,21,Air Conditioning,"For reports of the parts within the cabin temperature control unit. A typical entry would only reference the ""control unit"" if specific part numbers are not available.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2162,Cabin Temperature Indicator,21,Air Conditioning,"For reports of the indicators, lamps and associated circuitry which indicates the air temperature in the cabin.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2163,Cabin Temperature Sensor,21,Air Conditioning,For reports of the sensors and associated circuitry sensing the temperature of the air in the cabin and relays a signal to the indicator.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2170,Humidity Control System,21,Air Conditioning,"For reports of system parts that control humidity. Typical parts are bag, sock, filter, moisture separator, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2197,Air Conditioning System Wiring,21,Air Conditioning,For reports indicating a problem with wiring specific to the Air Conditioning System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2200,Auto Flight System,22,Auto Flight,"The units and components that furnish a means of automatically controlling flight of the aircraft. Includes those units and components controlling direction, heading, attitude, altitude, and speed. Use this code when there is insufficient information to file in a more specific JASC 2200 series code.",1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2210,Autopilot System,22,Auto Flight,"For reports of miscellaneous parts associated with the autopilot system used for controlling attitude and direction. Typical parts are yaw damper, cable, switch, sensor, relay, etc. The major components such as computer, servo, and controller are to be filed in the specific JASC 2200 series code.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2211,Autopilot Computer,22,Auto Flight,"For reports pertaining to the autopilot computer only. Typical parts are resistor, circuit board, capacitor, or power supply, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2212,Altitude Controller,22,Auto Flight,"The units transmitting output information signals to automatically maintain a predetermined altitude, rate of climb, or descent. Does not include the connecting system parts such as the sensor switch. The controller make and model should be included.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2213,Flight Controller,22,Auto Flight,"The command unit of an autopilot system. It is manually operated to generate signals which cause the aircraft to climb, dive, or perform coordinated turns. The controller make and model should be included.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2214,Autopilot Trim Indicator,22,Auto Flight,The instrument and associated circuitry that indicates the trim position selected by the pilot.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2215,Autopilot Main Servo,22,Auto Flight,"The unit mechanically connected to primary flight control actuating mechanisms, which is used to mechanically reposition control surfaces in accordance with electrical or pneumatic signals from a controller.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2216,Autopilot Trim Servo,22,Auto Flight,"The units mechanically connected to flight control cables, etc., for making minor corrections in aircraft attitude or direction.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2220,Speed-Attitude Correction System,22,Auto Flight,"The system which automatically maintains safe flight conditions by correcting for effects of speed and out-of-trim conditions by such means as automatic trim, mach trim, or speed stability and mach feel. This includes sensing, computing, actuating, indicating, internal monitoring, warning devices, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2230,Auto Throttle System,22,Auto Flight,"The system that automatically controls the position of the throttles to properly manage engine power during all phases of flight/attitude. This includes engaging, sensing, computing, amplifying, controlling, actuating and warning devices. Typical parts are amplifiers, computers, servos, limit switches, clutches, gearboxes, warning lights, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2250,Aerodynamic Load Alleviating,22,Auto Flight,"The system that automatically corrects and provides for gust loading/upset, aerodynamic augmentation, alleviation, suppression, ride control, etc. This includes sensing, computing, actuating, indicating, internal monitoring, warning devices, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2297,Auto Flight System Wiring,22,Auto Flight,For reports indicating a problem with wiring specific to the Autoflight/Auto Pilot System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2300,Communications System,23,Communications,"The units and components furnishing a means of communicating from one part of the aircraft to another and between the aircraft or ground stations, includes voice, data, continuous wave (C-W) communicating components, passenger announcement systems, intercom, inflight telephones, and tape reproducers-record player. Use this code when insufficient information is reported to file in a more specific JASC 2300 series code. Also for reports of units or parts common to more than one communication system.",1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2310,HF Communications System,23,Communications,"The system parts and circuitry including the receiver, transmitter, and antenna used exclusively in the high frequency (HF) communications.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2311,UHF Communications System,23,Communications,"The system parts and circuitry including the receiver, transmitter, and antenna used exclusively for ultra high frequency (UHF) communications.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2312,VHF Communications System,23,Communications,"The system parts and circuitry including the receiver, transmitter, and antenna used exclusively for very high frequency (VHF) communications.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2320,Data Transmission Auto Call,23,Communications,"The system components and parts which presents data derived from pulse coded transmissions. Includes ""selective calling"" (SELCAL), ""aircraft communications addressing and reporting system"" (ACARS), teleprinter, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2330,Entertainment System,23,Communications,"For reports on passenger entertainment system or components such as amplifier, cassette recorder player, control panel, speaker, video equipment, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2340,Interphone/Passenger Announcement (PA) System,23,Communications,"For reports on the interphone/passenger announcement (PA) system, including the amplifier used for communication by flight and ground personnel to communicate between areas on the aircraft.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2350,Audio Integrating System,23,Communications,"For reports of the system components and parts including the control panel and amplifier which controls output of communications and navigation receivers into flight crew headphones and speakers. Also includes output from microphones into communications transmitters. Typical parts are microphones, cockpit speakers, and headphones, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2360,Static Discharge System,23,Communications,"The parts dissipating static electricity. Does not include bonding straps on engine or airframe used to assure paths for DC current, which are filed in JASC code 2430. Typical parts are wick, bonding strap, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2370,Audio/Video Monitoring,23,Communications,"For reports on installations that record or monitor crew or passenger conversation or movement for security or safety purposes. Includes voice recorder, television, monitor, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2397,Communications System Wiring,23,Communications,For reports indicating a problem with wiring specific to the Communications Systems.,0,1,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2400,Electrical Power System,24,Electrical Power,"The electrical units and components that generate, control, and supply AC/DC electrical power for other systems through the secondary busses. For reports on electric power generating system parts and circuitry other than major components reported with insufficient information to file in a specific JASC 2400 series code. Typical parts are circuit breaker, relay, connector, resistor, wire bundles, switches, etc.",1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2410,Alternator-Generator Drive,24,Electrical Power,"For reports on alternator and generator drives mounted on reciprocating ""opposed"" type engines. Does not include alternator cases. Typical parts are bracket, pulley, belt, link, idler pulley, bolt, drive shaft and gears that stay with the alternator. Also for reports on constant speed drive (CSD) unit mounted on turbine engines to drive alternating current (AC) producing alternators at a predetermined and constant RPM. Typical parts are shaft seal, shaft, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2420,AC Generation System,24,Electrical Power,"For reports of system parts other than the alternator, regulator, AC inverter or phase adapter generating an alternating current for aircraft which incorporate an alternating current electrical system. Used primarily with large, turbine engine powered aircraft. Does not include the using systems.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2421,AC Generator-Alternator,24,Electrical Power,"The engine driven component that generates alternating current (AC) for aircraft with AC electrical systems. Does not include AC alternators on light piston-engine power aircraft with direct current (DC) electrical systems. Does not include single units used for both engine starting and electric power generating. Typical parts are bearing, shaft, housing, and integrated drive generator (IDG) which contains both AC and DC generators.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2422,AC Inverter,24,Electrical Power,The component which converts direct current to alternating current.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2423,Phase Adapter,24,Electrical Power,The component used to change the alternating current (AC) phase of output for specific using equipment.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2424,AC Regulator,24,Electrical Power,"The component that regulates the AC voltage from the alternator-generator to maintain a set voltage output for the using systems (i.e., generator control unit).",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2425,AC Indicating System,24,Electrical Power,"The equipment indicating, voltage, current flow, and system faults in the AC power systems.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2430,DC Generating System,24,Electrical Power,"The system parts and circuitry other than the generator/alternator and DC generation system regulator used to generate a direct current (DC); or from an alternator, the output of which is rectified to DC. Typical parts are relay, switch, connector, terminal, sensor, reverse current relay, etc. Such systems are more prevalent on light single and twin-engine aircraft.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2431,Battery Overheat Warning System,24,Electrical Power,"The system parts that sense and warn/indicate of a battery overtemperature condition. Typical parts are sensor, lamp, gauge, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2432,Battery/Charger System,24,Electrical Power,"The component providing a source of DC voltage and current flow independent of rotating generators and alternators. Typical parts are battery charger, cell, case, post, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2433,DC Rectifier/Converter,24,Electrical Power,The component which converts AC current for the using systems.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2434,DC Generator-Alternator,24,Electrical Power,"The engine driven component generating a direct current (DC) or a rectified alternating current for aircraft with DC electrical systems. For reports of alternators on light aircraft with piston engines. Does not include mounting brackets, drive belts and pulleys external to the unit. Typical parts are bearing, housing, coupling, fan, capacitor, drive, brush, seal, clutch, armature and bell, shaft, field winding, case bolt, ground stud, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2435,Starter-Generator,24,Electrical Power,"The single component used for both engine starting and direct current generation on turbine engines. Typical parts are bearing, shaft, brush, fan, retainer ring, armature, brush, housing, end bell, terminal, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2436,DC Regulator,24,Electrical Power,The component that regulates direct current voltage from a generator or alternator.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2437,DC Indicating System,24,Electrical Power,"The equipment indicating voltage, current flow, and system faults in the DC power systems.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2440,External Power System,24,Electrical Power,"The electrical system within the aircraft which is used to connect external power to the aircraft's electrical system. Does not include the external power supply units. Typical parts are receptacle, switch, indicator lamp, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2450,AC Power Distribution System,24,Electrical Power,"The electrical system providing for connection of AC power to using systems. Does not include the using system. Typical parts are main and secondary system buss, circuit breaker, limiter, jumper, load meter switch, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
